function,scale,data,algorithm,seed,final_dist_y,final_dist_x,steps
Sphere,raw,clean,tpe_gradw_gp,8,3.916800004725632e-05,0.006258434312769953,28.0
Sphere,raw,clean,tpe_gradw_gp,9,3.6703281254958834e-05,0.006058323303931446,19.0
Sphere,raw,clean,tpe_gradw_gp,10,0.0003569099476788001,0.018892060440269615,65.0
Sphere,raw,clean,tpe_gradw_gp,11,0.0001830202210853266,0.013528496630643282,34.0
Sphere,raw,clean,tpe_gradw_gp,12,0.00014783672956780237,0.012158812835462282,19.0
Sphere,raw,clean,tpe_gradw_gp,13,0.0019247106973169456,0.043871524903027315,
Sphere,raw,clean,tpe_gradw_gp,14,6.959129693565704e-05,0.008342139829543559,58.0
Sphere,raw,clean,tpe_gradw_gp,15,4.18723519269197e-05,0.006470884941560907,36.0
Sphere,raw,clean,tpe_gradw_gp,16,1.5319154597768855e-05,0.003913969161576118,25.0
Sphere,raw,clean,tpe_gradw_gp,17,0.0001209062482136121,0.010995737729393698,24.0
Sphere,raw,clean,tpe_gradw_gp,18,0.002972181078534399,0.05451771343824316,
Sphere,raw,clean,tpe_gradw_gp,19,4.9137138470106455e-05,0.007009788760733554,52.0
Sphere,raw,clean,tpe_gradw_gp,20,4.0145698778211065e-05,0.00633606335023657,31.0
Sphere,raw,clean,tpe_gradw_gp,21,1.0806629575248211e-05,0.0032873438480402702,29.0
Sphere,raw,clean,tpe_gradw_gp,22,9.5929638569365e-06,0.0030972510161329358,29.0
Sphere,raw,clean,tpe_gradw_gp,23,1.199879337282198e-07,0.0003463927449127937,20.0
Sphere,raw,clean,tpe_gradw_gp,24,0.0001136822121626067,0.01066218608741222,23.0
Sphere,raw,clean,tpe_gradw_gp,25,8.108528376853607e-06,0.002847547783067671,42.0
Sphere,raw,clean,tpe_gradw_gp,26,2.884478769777302e-05,0.005370734372297053,62.0
Sphere,raw,clean,tpe_gradw_gp,27,0.10420283255357843,0.32280463527275816,
Sphere,raw,clean,tpe_gradw_gp,28,0.00011991304463649706,0.010950481479665496,36.0
Sphere,raw,clean,tpe_gradw_gp,29,9.182513355835425e-06,0.0030302662186407693,53.0
Sphere,raw,clean,tpe_gradw_gp,30,4.827683263555191e-05,0.006948153181641285,16.0
Sphere,raw,clean,tpe_gradw_gp,31,0.0001042866813601139,0.010212085064281139,44.0
Sphere,raw,clean,tpe_gradw_gp,32,0.00012245908163826838,0.011066123153040923,39.0
Sphere,raw,clean,tpe_gradw_gp,33,2.0934885200125046e-06,0.0014468892563055764,24.0
Sphere,raw,clean,tpe_gradw_gp,34,1.8508156055520905e-05,0.004302110651240958,35.0
Sphere,raw,clean,tpe_gradw_gp,35,6.684987391796893e-05,0.008176177219090162,23.0
Sphere,raw,clean,tpe_gradw_gp,36,8.810546030562314e-05,0.009386450889746515,34.0
Sphere,raw,clean,tpe_gradw_gp,37,5.147790784586823e-05,0.007174810648781488,40.0
Sphere,raw,clean,tpe_gradw_gp,38,0.00018323159973373656,0.013536306724278102,44.0
Sphere,raw,clean,tpe_gradw_gp,39,0.0001496556800382188,0.01223338383433704,63.0
Sphere,raw,clean,tpe_gradw_gp,40,2.2663864325171595e-05,0.004760657971874433,22.0
Sphere,raw,clean,tpe_gradw_gp,41,0.0011665135021756224,0.03415426038103625,
Sphere,raw,clean,tpe_gradw_gp,42,2.484445554144166e-05,0.0049844212845065235,23.0
Sphere,raw,clean,tpe_gradw_gp,43,6.641365144012628e-07,0.0008149457125485493,27.0
Sphere,raw,clean,tpe_gradw_gp,44,0.031612973941652835,0.17780037666341664,
Sphere,raw,clean,tpe_gradw_gp,45,9.135565091651454e-05,0.00955801500922208,49.0
Sphere,raw,clean,tpe_gradw_gp,46,0.00019312391181548955,0.013896902957691313,35.0
Sphere,raw,clean,tpe_gradw_gp,47,0.0001045885509599324,0.01022685440201103,49.0
Sphere,raw,clean,tpe_gradw_gp,48,1.961796859941896e-05,0.004429217605787614,34.0
Sphere,raw,clean,tpe_gradw_gp,49,1.3323113562488194e-05,0.0036500840486882206,41.0
Sphere,raw,clean,optuna,0,0.04225097710318195,0.20555042472148277,
Sphere,raw,clean,optuna,1,0.001072899750381719,0.03275514845610868,
Sphere,raw,clean,optuna,2,0.04610616223231176,0.2147234552449074,
Sphere,raw,clean,optuna,3,0.014931112380157503,0.12219293097457604,
Sphere,raw,clean,optuna,4,0.00840986688164529,0.09170532635373635,
Sphere,raw,clean,optuna,5,0.012114926032600625,0.11006782469278034,
Sphere,raw,clean,optuna,6,0.020121145658761087,0.14184902417274886,
Sphere,raw,clean,optuna,7,0.028138694336965236,0.1677459219682113,
Sphere,raw,clean,optuna,8,0.015988923516494936,0.1264473151810466,
Sphere,raw,clean,optuna,9,0.004710562741888785,0.06863353948244827,
Sphere,raw,clean,optuna,10,0.02028171252611253,0.14241387757558083,
Sphere,raw,clean,optuna,11,0.010418209876767883,0.1020696324906085,
Sphere,raw,clean,optuna,12,0.05826813487430642,0.24138793440084452,
Sphere,raw,clean,optuna,13,0.04198674296056533,0.2049066689021256,
Sphere,raw,clean,optuna,14,0.01374080810710476,0.1172211930800261,
Sphere,raw,clean,optuna,15,0.014178987494845146,0.11907555372470517,
Sphere,raw,clean,optuna,16,0.04091309083796391,0.20226984658609873,
Sphere,raw,clean,optuna,17,0.047557629524607584,0.2180771182967337,
Sphere,raw,clean,optuna,18,0.0074627600794615265,0.08638726804027042,
Sphere,raw,clean,optuna,19,0.04805272115549065,0.21920930900737462,
Sphere,raw,clean,optuna,20,0.03140679067666995,0.17721961143358247,
Sphere,raw,clean,optuna,21,0.028126514661960915,0.1677096141011627,
Sphere,raw,clean,optuna,22,0.0018026906246977603,0.04245810434649386,
Sphere,raw,clean,optuna,23,0.008683285005262779,0.09318414567544621,
Sphere,raw,clean,optuna,24,0.01106555422637288,0.10519293810124747,
Sphere,raw,clean,optuna,25,0.001569689625502663,0.0396193087458964,
Sphere,raw,clean,optuna,26,0.0004452930113572574,0.021101967002089102,63.0
Sphere,raw,clean,optuna,27,0.0007697782021300859,0.02774487704298013,33.0
Sphere,raw,clean,optuna,28,0.033196785248895924,0.18219984974992684,
Sphere,raw,clean,optuna,29,0.018209711022746287,0.13494336227746176,
Sphere,raw,clean,optuna,30,0.04215915268430608,0.20532694096076648,
Sphere,raw,clean,optuna,31,0.05279606003058783,0.2297739324435821,
Sphere,raw,clean,optuna,32,0.02284340183838373,0.15114033822373077,
Sphere,raw,clean,optuna,33,0.006638969971676595,0.08147987464200344,
Sphere,raw,clean,optuna,34,0.013983132977324645,0.1182502980009972,
Sphere,raw,clean,optuna,35,0.02983288599060393,0.17272199046619377,
Sphere,raw,clean,optuna,36,0.015382086384884237,0.1240245394463702,
Sphere,raw,clean,optuna,37,0.10056687096990435,0.3171228010880081,
Sphere,raw,clean,optuna,38,0.06674085610936074,0.25834251703767375,
Sphere,raw,clean,optuna,39,0.0116132311997038,0.10776470293980214,
Sphere,raw,clean,optuna,40,0.00693212181689851,0.08325936473994087,
Sphere,raw,clean,optuna,41,0.020831260615224452,0.14433038701266082,
Sphere,raw,clean,optuna,42,0.2935367696346477,0.5417903373396832,
Sphere,raw,clean,optuna,43,0.0257967671123474,0.16061372018712286,
Sphere,raw,clean,optuna,44,0.0513190819111741,0.22653715348960776,
Sphere,raw,clean,optuna,45,0.014778470850921915,0.12156673414599044,
Sphere,raw,clean,optuna,46,0.009059900070460754,0.09518350734481659,
Sphere,raw,clean,optuna,47,0.13644554008113333,0.3693853544486209,
Sphere,raw,clean,optuna,48,0.02984102468736458,0.17274554896542074,
Sphere,raw,clean,optuna,49,0.035228839640626015,0.18769347255732155,
Sphere,raw,noisy_y,random,0,0.5590769396747973,0.7477144773740825,
Sphere,raw,noisy_y,random,1,2.0166344749479577,1.420082559201386,
Sphere,raw,noisy_y,random,2,0.8732670689493408,0.9344875970013411,
Sphere,raw,noisy_y,random,3,0.16843725643961388,0.4104110822573069,
Sphere,raw,noisy_y,random,4,0.0045253653687682,0.06727083594521625,
Sphere,raw,noisy_y,random,5,0.40223785443677396,0.6342222437259466,
Sphere,raw,noisy_y,random,6,0.15297293044796476,0.39111754045039293,
Sphere,raw,noisy_y,random,7,0.28826533385308034,0.5369034679093444,
Sphere,raw,noisy_y,random,8,0.2683661516824967,0.5180406853544388,
Sphere,raw,noisy_y,random,9,0.027679786141799872,0.1663724320366805,
Sphere,raw,noisy_y,random,10,0.18268931422451773,0.4274217053736482,
Sphere,raw,noisy_y,random,11,0.31551024444799614,0.5617029859703402,
Sphere,raw,noisy_y,random,12,0.021071922671113658,0.14516171213895784,
Sphere,raw,noisy_y,random,13,0.24149302103534692,0.4914193942401408,
Sphere,raw,noisy_y,random,14,0.626660312986693,0.7916187927195091,
Sphere,raw,noisy_y,random,15,0.03435902165993878,0.18536186679017555,
Sphere,raw,noisy_y,random,16,0.25923818333137655,0.5091543806463581,
Sphere,raw,noisy_y,random,17,0.2328031490632245,0.48249678658331446,
Sphere,raw,noisy_y,random,18,0.23776567725554296,0.48761222016633565,
Sphere,raw,noisy_y,random,19,0.030429538779057894,0.17444064543293197,
Sphere,raw,noisy_y,random,20,0.21463100941016128,0.46328286112283634,
Sphere,raw,noisy_y,random,21,0.5341729667979733,0.730871375002451,
Sphere,raw,noisy_y,random,22,0.2428475816882474,0.4927956794537138,
Sphere,raw,noisy_y,random,23,2.7838197451142914,1.668478272293137,
Sphere,raw,noisy_y,random,24,0.26030748704008244,0.5102033781151223,
Sphere,raw,noisy_y,random,25,0.12004129117322325,0.346469755062723,
Sphere,raw,noisy_y,random,26,1.3025166025888477,1.1412784947543906,
Sphere,raw,noisy_y,random,27,0.5094429591688359,0.7137527297102518,
Sphere,raw,noisy_y,random,28,1.3215263821693943,1.1495766099609865,
Sphere,raw,noisy_y,random,29,0.09988534724056186,0.3160464320959214,
Sphere,raw,noisy_y,random,30,1.0481862748677766,1.0238096868401747,
Sphere,raw,noisy_y,random,31,0.16829177371132675,0.41023380371603557,
