function,scale,data,algorithm,threshold_y,n_seeds,success_rate_%,steps_mean,steps_std,final_dist_y_mean,final_dist_y_std,final_dist_y_median,final_dist_x_mean,final_dist_x_std,final_dist_x_median
Rastrigin,raw,clean,tpe_gp,1.0,50,6.0,33.0,9.41629792788369,3.7749254206419693,2.9542004608086336,2.3490981279079044,1.5926241449580703,0.7582593281411404,1.4159030877322325
Rastrigin,raw,clean,tpe_gradw_gp,1.0,50,10.0,66.8,10.244998779892558,2.7630488490432907,1.7517475755868142,2.405487317291019,1.0118316150061997,0.6445039626393196,1.0024610776173208
Rastrigin,raw,clean,optuna,1.0,50,6.0,51.666666666666664,16.779617264870957,2.9787342869222186,1.5923933085728745,2.664926909198268,1.132387135255874,0.6162615897572524,1.0989927584024155
Rastrigin,raw,noisy_y,random,1.0,50,2.0,13.0,0.0,6.112335101412617,3.105975329526104,5.758550558615716,1.5650508367170963,0.694404276202518,1.4664354538293485
Rastrigin,raw,noisy_y,tpe,1.0,50,24.0,47.083333333333336,19.396985733756562,2.8468186637472526,2.507106411214153,1.9318074203084166,1.3435714081356323,0.8752175471517124,1.2092637151845396
Rastrigin,raw,noisy_y,tpe_gradw,1.0,50,12.0,61.166666666666664,6.309164410249233,3.2958293621121584,2.354443485581544,2.819745422176961,1.0420082660699663,0.5631790891802148,1.0376358641468453
Rastrigin,raw,noisy_y,tpe_gp,1.0,50,8.0,56.0,9.137833441248533,3.9989939369334757,3.419394016625946,2.3761072452442953,1.5101298050057173,0.7700481554517153,1.3832522077563045
Rastrigin,raw,noisy_y,tpe_gradw_gp,1.0,50,8.0,56.5,10.735455276791944,3.29777010421497,1.8352074450405078,3.086073375669116,1.2234614218582143,0.6259589158200932,1.347753458204605
Rastrigin,raw,noisy_y,optuna,1.0,50,8.0,41.5,14.150971698084906,2.9045980540151586,1.6008300820400239,2.6942798034265394,1.0894435162693161,0.580774163763965,1.0478326671490379
Rastrigin,norm,clean,random,1.0,50,2.0,13.0,0.0,6.103259270134981,3.105429044317422,5.758550558615716,1.5171580430213039,0.6857660538955143,1.4664354538293485
Rastrigin,norm,clean,tpe,1.0,50,26.0,49.23076923076923,17.34781673762235,2.5202820705333484,2.159512591705487,1.9941617788806933,1.332412035158513,0.756859960265062,1.3940089834806582
Rastrigin,norm,clean,tpe_gradw,1.0,50,28.0,40.714285714285715,15.22417518961476,2.7418084896490402,3.069245864978113,1.5340214079640866,1.295593505125749,0.9660996283484788,1.1835385249763695
Rastrigin,norm,clean,tpe_gp,1.0,50,10.0,44.4,7.49933330370107,2.1844741409125117,1.9469771997439294,1.929767772300698,1.2409276683744108,0.6707819085259574,1.0187357205721743
Rastrigin,norm,clean,tpe_gradw_gp,1.0,50,12.0,44.0,22.501851775650227,3.2899094492124363,2.9531688472595405,2.0099634874626773,1.49482836036725,0.7687537474492777,1.407362193631173
Rastrigin,norm,clean,optuna,1.0,50,6.0,51.666666666666664,16.779617264870957,2.9787342869222186,1.5923933085728745,2.664926909198268,1.132387135255874,0.6162615897572524,1.0989927584024155
Rastrigin,norm,noisy_y,random,1.0,50,2.0,13.0,0.0,6.112335101412617,3.105975329526104,5.758550558615716,1.5650508367170963,0.694404276202518,1.4664354538293485
Rastrigin,norm,noisy_y,tpe,1.0,50,24.0,47.083333333333336,19.396985733756562,2.8468186637472526,2.507106411214153,1.9318074203084166,1.3435714081356323,0.8752175471517124,1.2092637151845396
Rastrigin,norm,noisy_y,tpe_gradw,1.0,50,24.0,39.5,11.026483271348727,3.017672585517013,2.7873659493380982,2.106175884482086,1.3738604533210783,0.9268220871923873,1.4078104824706488
Rastrigin,norm,noisy_y,tpe_gp,1.0,50,14.0,39.714285714285715,7.832428663927313,2.2170375440210184,2.026311386462385,1.2704959520013563,1.2064637889678185,0.6891996808934479,1.0155901749860345
