function,algorithm,data,raw_final_dist_y,norm_final_dist_y,delta_norm_minus_raw,identical
Rosenbrock,tpe_gp,clean,0.4135313791373027,1.7802611852702348,1.366729806132932,False
Rosenbrock,tpe_gp,noisy_y,0.26565534520959205,1.865089748384704,1.599434403175112,False
Rosenbrock,tpe_gp_refine,clean,0.22606400070729996,0.5047583203228136,0.2786943196155137,False
Rosenbrock,tpe_gp_refine,noisy_y,0.22998531548039622,0.4575078205485788,0.22752250506818258,False
Rosenbrock,tpe_gp_w,clean,0.2953991781274778,1.4704131759076686,1.1750139977801908,False
Rosenbrock,tpe_gp_w,noisy_y,0.3182892497951548,1.455449699596235,1.13716044980108,False
Rosenbrock,tpe_refine,clean,0.3954332309867403,0.3954332309867403,0.0,True
Rosenbrock,tpe_refine,noisy_y,0.428365861717043,0.428365861717043,0.0,True
Rosenbrock,tpe_w_sign,clean,1.5885173003305701,1.5885173003305701,0.0,True
Rosenbrock,tpe_w_sign,noisy_y,1.6505449928294624,1.6505449928294624,0.0,True
Rosenbrock,tpe_w_sign_inv,clean,1.531436153641392,1.531436153641392,0.0,True
Rosenbrock,tpe_w_sign_inv,noisy_y,1.6204408060926954,1.6204408060926954,0.0,True
Rosenbrock,tpe_w_smooth,clean,1.3788344703940598,1.3788344703940598,0.0,True
Rosenbrock,tpe_w_smooth,noisy_y,1.4831938049035338,1.4831938049035338,0.0,True
Rosenbrock,tpe_w_smooth_inv,clean,1.3759123362873495,1.3759123362873495,0.0,True
Rosenbrock,tpe_w_smooth_inv,noisy_y,1.4605918358696497,1.4605918358696497,0.0,True
Sphere,optuna,clean,0.017046580011705597,0.017046580011705597,0.0,True
Sphere,optuna,noisy_y,0.017140003117461666,0.017140003117461666,0.0,True
Sphere,random,clean,0.4018149396547054,0.4018149396547054,0.0,True
Sphere,random,noisy_y,0.4018149396547054,0.4018149396547054,0.0,True
Sphere,tpe,clean,0.13921742643043136,0.13921742643043136,0.0,True
Sphere,tpe,noisy_y,0.12596344881942817,0.12596344881942817,0.0,True
Sphere,tpe_gp,clean,0.0032012486515039015,0.08401909168599955,0.08081784303449566,False
Sphere,tpe_gp,noisy_y,0.004551425927027845,0.08345063844481239,0.07889921251778455,False
Sphere,tpe_gp_refine,clean,1.541955738204822e-06,4.024059781758686e-07,-1.1395497600289534e-06,False
